name	description	comment
F160W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F160W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F160W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F160W_KRON_bkg	F160W_KRON_bkg [unit: nJy]	form=D
F160W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F160W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F160W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F160W_KRON_S_bkg	F160W_KRON_S_bkg [unit: nJy]	form=D
F162M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F162M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F162M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F162M_KRON_bkg	F162M_KRON_bkg [unit: nJy]	form=D
F162M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F162M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F162M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F162M_KRON_S_bkg	F162M_KRON_S_bkg [unit: nJy]	form=D
F182M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F182M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F182M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F182M_KRON_bkg	F182M_KRON_bkg [unit: nJy]	form=D
F182M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F182M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F182M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F182M_KRON_S_bkg	F182M_KRON_S_bkg [unit: nJy]	form=D
F200W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F200W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F200W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F200W_KRON_bkg	F200W_KRON_bkg [unit: nJy]	form=D
F200W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F200W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F200W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F200W_KRON_S_bkg	F200W_KRON_S_bkg [unit: nJy]	form=D
F210M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F210M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F210M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F210M_KRON_bkg	F210M_KRON_bkg [unit: nJy]	form=D
F210M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F210M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F210M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F210M_KRON_S_bkg	F210M_KRON_S_bkg [unit: nJy]	form=D
F250M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F250M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F250M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F250M_KRON_bkg	F250M_KRON_bkg [unit: nJy]	form=D
F250M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F250M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F250M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F250M_KRON_S_bkg	F250M_KRON_S_bkg [unit: nJy]	form=D
F277W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F277W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F277W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F277W_KRON_bkg	F277W_KRON_bkg [unit: nJy]	form=D
F277W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F277W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F277W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F277W_KRON_S_bkg	F277W_KRON_S_bkg [unit: nJy]	form=D
F300M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F300M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F300M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F300M_KRON_bkg	F300M_KRON_bkg [unit: nJy]	form=D
F300M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F300M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F300M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F300M_KRON_S_bkg	F300M_KRON_S_bkg [unit: nJy]	form=D
F335M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F335M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F335M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F335M_KRON_bkg	F335M_KRON_bkg [unit: nJy]	form=D
F335M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F335M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F335M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F335M_KRON_S_bkg	F335M_KRON_S_bkg [unit: nJy]	form=D
F356W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F356W_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F356W_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F356W_KRON_bkg	F356W_KRON_bkg [unit: nJy]	form=D
F356W_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F356W_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F356W_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F356W_KRON_S_bkg	F356W_KRON_S_bkg [unit: nJy]	form=D
F410M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F410M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F410M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F410M_KRON_bkg	F410M_KRON_bkg [unit: nJy]	form=D
F410M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F410M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F410M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F410M_KRON_S_bkg	F410M_KRON_S_bkg [unit: nJy]	form=D
F430M_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
F430M_KRON_e	Flux NMAD uncertainty of source within aperture R_KRON, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F430M_KRON_ei	Flux uncertainty of source within aperture R_KRON, measured from the ERR extension (nJy) [unit: nJy]	form=D
F430M_KRON_bkg	F430M_KRON_bkg [unit: nJy]	form=D
F430M_KRON_S	Flux of source within aperture R_KRON_S of 0.50'' radius (nJy) [unit: nJy]	form=D
F430M_KRON_S_e	Flux NMAD uncertainty of source within aperture R_KRON_S, measured from a series of random apertures (nJy) [unit: nJy]	form=D
F430M_KRON_S_ei	Flux uncertainty of source within aperture R_KRON_S, measured from the ERR extension (nJy) [unit: nJy]	form=D
F430M_KRON_S_bkg	F430M_KRON_S_bkg [unit: nJy]	form=D
F435W_KRON	Flux of source within aperture R_KRON (nJy) [unit: nJy]	form=D
