name	description	comment
F1000W_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1000W_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1000W_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F1000W_CIRC5_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1000W_CIRC5_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1000W_CIRC6	Aperture-corrected flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F1000W_CIRC6_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1000W_CIRC6_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1280W_CIRC0	Aperture-corrected flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F1280W_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1280W_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1280W_CIRC1	Aperture-corrected flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F1280W_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1280W_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1280W_CIRC2	Aperture-corrected flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F1280W_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1280W_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1280W_CIRC3	Aperture-corrected flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F1280W_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1280W_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1280W_CIRC4	Aperture-corrected flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F1280W_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1280W_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1280W_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F1280W_CIRC5_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1280W_CIRC5_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1280W_CIRC6	Aperture-corrected flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F1280W_CIRC6_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1280W_CIRC6_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1500W_CIRC0	Aperture-corrected flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F1500W_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1500W_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1500W_CIRC1	Aperture-corrected flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F1500W_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1500W_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1500W_CIRC2	Aperture-corrected flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F1500W_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1500W_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1500W_CIRC3	Aperture-corrected flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F1500W_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1500W_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1500W_CIRC4	Aperture-corrected flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F1500W_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1500W_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1500W_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F1500W_CIRC5_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1500W_CIRC5_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1500W_CIRC6	Aperture-corrected flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F1500W_CIRC6_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1500W_CIRC6_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1800W_CIRC0	Aperture-corrected flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F1800W_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1800W_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1800W_CIRC1	Aperture-corrected flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F1800W_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1800W_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1800W_CIRC2	Aperture-corrected flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F1800W_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1800W_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1800W_CIRC3	Aperture-corrected flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F1800W_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1800W_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1800W_CIRC4	Aperture-corrected flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F1800W_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1800W_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1800W_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F1800W_CIRC5_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1800W_CIRC5_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F1800W_CIRC6	Aperture-corrected flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F1800W_CIRC6_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F1800W_CIRC6_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2100W_CIRC0	Aperture-corrected flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F2100W_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2100W_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2100W_CIRC1	Aperture-corrected flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F2100W_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2100W_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2100W_CIRC2	Aperture-corrected flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F2100W_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2100W_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2100W_CIRC3	Aperture-corrected flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F2100W_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2100W_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2100W_CIRC4	Aperture-corrected flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F2100W_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2100W_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2100W_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F2100W_CIRC5_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2100W_CIRC5_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2100W_CIRC6	Aperture-corrected flux for filter {BAND} within r = 0.50'' circular aperture [unit: nJy]	form=E
F2100W_CIRC6_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2100W_CIRC6_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2550W_CIRC0	Aperture-corrected flux for filter {BAND} within a circular aperture enclosing 80% of the PSF energy [unit: nJy]	form=E
F2550W_CIRC0_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2550W_CIRC0_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2550W_CIRC1	Aperture-corrected flux for filter {BAND} within r = 0.10'' circular aperture [unit: nJy]	form=E
F2550W_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2550W_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2550W_CIRC2	Aperture-corrected flux for filter {BAND} within r = 0.15'' circular aperture [unit: nJy]	form=E
F2550W_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2550W_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2550W_CIRC3	Aperture-corrected flux for filter {BAND} within r = 0.25'' circular aperture [unit: nJy]	form=E
F2550W_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2550W_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2550W_CIRC4	Aperture-corrected flux for filter {BAND} within r = 0.30'' circular aperture [unit: nJy]	form=E
F2550W_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F2550W_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F2550W_CIRC5	Aperture-corrected flux for filter {BAND} within r = 0.35'' circular aperture [unit: nJy]	form=E
F2550W_CIRC5_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
