name	description	comment
F162M_CIRC1	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within r = 0.1'' circular aperture [unit: nJy]	form=E
F162M_CIRC1_bkg	Background subtraction value for {BAND} CIRC1 [unit: nJy]	form=E
F162M_CIRC1_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F162M_CIRC1_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F162M_CIRC2	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within r = 0.15'' circular aperture [unit: nJy]	form=E
F162M_CIRC2_bkg	Background subtraction value for {BAND} CIRC2 [unit: nJy]	form=E
F162M_CIRC2_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F162M_CIRC2_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F162M_CIRC3	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within r = 0.25'' circular aperture [unit: nJy]	form=E
F162M_CIRC3_bkg	Background subtraction value for {BAND} CIRC3 [unit: nJy]	form=E
F162M_CIRC3_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F162M_CIRC3_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
F162M_CIRC4	Aperture-corrected, background-subtracted flux for filter {BAND} for common-PSF image within r = 0.30'' circular aperture [unit: nJy]	form=E
F162M_CIRC4_bkg	Background subtraction value for {BAND} CIRC4 [unit: nJy]	form=E
F162M_CIRC4_e	Aperture-corrected flux uncertainty for filter {BAND} determined from uncertainty model regression [unit: nJy]	form=E
F162M_CIRC4_ei	Aperture-corrected flux uncertainty determined from mosaic ERR image [unit: nJy]	form=E
